domain,tld,time_left,starting_price,current_bid,bids_count,domain_age,revenue,visitors
globalenergy.com,com,com,"5d, 19h",1.00,"6,400.00",80,0,0.00
ejal.com,com,com,"9d, 19h",1.00,"1,126.05",70,0,0.00
tyyp.com,com,com,"7d, 19h",1.00,300.00,45,0,0.00
altvra.com,com,com,"2d, 10h",1.00,79.00,41,18,0.00
1usdt.com,com,com,"6d, 19h",1.00,121.00,39,0,0.00
ziparticle.com,com,com,"1d, 18h",1.00,53.00,38,4,0.00
cryptoflippa.com,com,com,"2d, 14h",1.00,50.00,37,1,0.00
blogs.io,io,io,"11d, 19h",1.00,660.00,34,0,0.00
612.tv,tv,tv,"44m, 58s",7.99,"2,000.00",33,10,0.00
semenbank.com,com,com,"4d, 19h",1.00,110.00,32,0,0.00
saturnal.com,com,com,"6d, 19h",1.00,355.00,31,0,0.00
buyany.com,com,com,"12d, 19h",1.00,510.00,30,0,0.00
sportsnewstoday.com,com,com,"10d, 19h",1.00,105.00,29,0,0.00
learntoduck.com,com,com,"3d, 19h",1.00,155.01,28,0,0.00
bestools.com,com,com,"9d, 19h",1.00,255.00,27,0,0.00
linuxonline.com,com,com,"11d, 19h",1.00,205.00,27,0,0.00
ugql.com,com,com,"19h, 49m",1.00,222.00,27,0,0.00
chosen.now,now,now,"4m, 11s",7.99,154.00,26,1,0.00
coyp.com,com,com,"17d, 19h",1.00,205.00,26,0,0.00
aicarnews.com,com,com,"1d, 16h",1.00,136.00,23,1,0.00
kmyp.com,com,com,"17d, 19h",1.00,31.00,22,0,0.00
ulvo.com,com,com,"13d, 19h",1.00,305.01,22,0,0.00
bigcola.com,com,com,"8d, 19h",1.00,230.00,21,0,0.00
eqfb.com,com,com,"2d, 19h",1.00,304.00,21,0,0.00
introes.com,com,com,"21h, 14m",7.99,99.00,21,4,0.00
pasaporte-sre.org,org,org,"1d, 19h",1.00,510.00,21,0,0.00
qqvq.com,com,com,"22h, 25m",1.00,136.00,21,10,0.00
rubsi.com,com,com,"7d, 19h",1.00,23.00,21,0,0.00
thehentenbag.com,com,com,"2h, 19m",29.00,185.00,21,13,1.97
anyurl.com,com,com,"17d, 19h",1.00,83.00,20,0,0.00
iqia.com,com,com,"5d, 1h",7.99,255.00,20,25,0.00
nhxx.com,com,com,"10d, 19h",1.00,160.00,20,0,0.00
q5i.com,com,com,"22h, 22m",1.00,160.00,20,22,0.00
backlink.now,now,now,"4m, 11s",7.99,25.00,19,1,0.00
bicyclegeorgia.com,com,com,"2d, 19h",1.00,170.00,19,0,0.00
elitefunds.com,com,com,"16d, 19h",1.00,116.00,19,0,0.00
embedgooglemap.net,net,net,"21d, 19h",1.00,255.00,18,0,0.00
flujourl.top,top,top,"3d, 23h",5.00,116.00,18,1,83.62
langpop.com,com,com,"1h, 16m",7.99,232.00,18,18,0.00
oneyoga.com,com,com,"16d, 19h",1.00,130.00,18,0,0.00
qotp.com,com,com,"22h, 33m",1.00,112.00,18,19,0.00
technoflex.com,com,com,"15d, 19h",1.00,255.00,18,0,0.00
then.run,run,run,"9d, 19h",1.00,21.00,18,0,0.00
boatyards.com,com,com,"13d, 19h",1.00,102.00,17,0,0.00
creatuforo.com,com,com,"3d, 21h",7.99,25.00,17,20,0.16
javelin.org,org,org,"10d, 19h",1.00,204.00,17,0,0.00
qtie.com,com,com,"21d, 19h",1.00,23.00,17,0,0.00
uipq.com,com,com,"22h, 29m",1.00,95.00,17,19,0.00
0qa.com,com,com,"2d, 9h",1.00,260.00,16,26,0.00
6n6.cc,cc,cc,"13d, 19h",1.00,16.09,16,0,0.00
adelic.com,com,com,"9d, 19h",1.00,89.00,16,0,0.00
ifyl.com,com,com,"1d, 21h",7.99,148.00,16,15,0.00
riuh.com,com,com,"11d, 19h",1.00,105.00,16,0,0.00
